id,name,population,area,main_patch
01,Andalucía,8414240,87780.17,4109101
02,Aragón,1319291,47753.66,5029702
03,Principado de Asturias,1022800,10604.02,3304411
04,Illes Balears,1149460,4999.92,0704002
05,Canarias,2153389,7481.69,3803802
06,Cantabria,581078,5333.18,3907502
07,Castilla y León,2399548,94300.61,4718601
08,Castilla-La Mancha,2032863,79564.66,4516801_AD
09,Cataluña,7675217,32139.34,0801902
10,Comunitat Valenciana,5003769,23300.11,4625001
11,Extremadura,1067710,41688.5,1003704
12,Galicia,2699499,29603.44,1507805
13,Comunidad de Madrid,6663394,8030.77,2807901
14,Región de Murcia,1493898,11338.68,3003002
15,Comunidad Foral de Navarra,654214,10393.26,3120101
16,País Vasco,2207776,7235.56,0105901
17,La Rioja,316798,5050.91,2608903
18,Ceuta,84777,18.67,5100101
19,Melilla,86487,13.04,5200102